Recorded Date,GASO Name,GASO NPI,Service Counties,Service Cities,Service ZIPs,EOA Name,EOA Description,Rate Type,Contracted Ambulance Provider NPI,Contracted Ambulance Provider Name,A0428 (BLS-NE),A0429 (BLS-E),A0426 (ALS1-NE),A0427 (ALS1-E),A0433 (ALS2),A0434 (SCT),A0998 (Non-TX),A0425 (Mileage),Effective Date,Additional Comments,Source URL,Rate Source URL,EOA Source URL,NPI Source URL,Scraped At
2026-01-11,Alameda County EMS Agency,1205948765,Alameda,"Oakland, Fremont, Hayward, Berkeley, San Leandro, Alameda, Livermore, Pleasanton, Dublin, Newark, Union City","945xx, 946xx, 947xx",County-wide,,Emergency (911),1205948765,Alameda County EMS Agency,,,,15.0,,,,,"August 12, 2024",,https://ems.acgov.org/index.page,https://ems.acgov.org/index.page,https://ems.acgov.org/,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:56.517504
2026-01-11,AMR,1346242733,Sacramento,"Sacramento (unincorporated), Citrus Heights, Rancho Cordova, Carmichael","956xx, 958xx",Zone 1,,Emergency (911),1346242733,AMR,,3854.13,,3016.41,,,,15084.0,,,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Pages/Approved-Ambulance-Provider-Rates.aspx,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:58.239085
2026-01-11,Folsom,1023197765,Sacramento,"Folsom, El Dorado Hills",956xx,Folsom,,Emergency (911),1023197765,Folsom,,105.0,,2158.0,,,,2158.0,,,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Pages/Approved-Ambulance-Provider-Rates.aspx,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:58.239431
2026-01-11,Cosumnes,1427355683,Sacramento,"Elk Grove, Galt",957xx,Cosumnes,,Emergency (911),1427355683,Cosumnes,,2654.67,,2654.67,,,,39.73,,,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Pages/Approved-Ambulance-Provider-Rates.aspx,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:58.239522
2026-01-11,Medic Ambulance,1700856952,Sacramento,"Sacramento (unincorporated), Citrus Heights, Rancho Cordova, Carmichael","956xx, 958xx",Zone 1,,Emergency (911),1700856952,Medic Ambulance,,2875.71,,2875.71,,,,7535.0,,,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Pages/Approved-Ambulance-Provider-Rates.aspx,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:58.239613
2026-01-11,Alpha One,1285749842,Sacramento,Sacramento County-wide,"956xx, 957xx, 958xx",County-wide IFT,,Emergency (911),1285749842,Alpha One,,3168.0,,187.2,,,,4752.0,,,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Pages/Approved-Ambulance-Provider-Rates.aspx,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:58.239695
2026-01-11,NorCal,1245346123,Sacramento,Sacramento County-wide,"956xx, 957xx, 958xx",County-wide IFT,,Emergency (911),1245346123,NorCal,,5465.0,,4600.0,,,,14500.0,,,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Documents/Ambulance%20Fees/2025%20Ambulance%20Fees/EMSA%20Letter_Approved%20Ground%20Ambulance%20Transportation%20Rates_2025.pdf,https://dhs.saccounty.gov/PUB/EMS/Pages/Approved-Ambulance-Provider-Rates.aspx,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:58.239781
2026-01-11,Contra Costa County EMS,1316143946,Contra Costa,"Concord, Richmond, Antioch, Walnut Creek, Pittsburg, San Ramon, Brentwood, Martinez, Pleasant Hill, Danville","945xx, 946xx, 948xx",County-wide,Contra Costa County Fire Protection District,Emergency (911),1316143946,Contra Costa County EMS,,,3202.3,3202.3,,,,,"May 1, 2025",,https://www.cchealth.org/about-contra-costa-health/divisions/ems/ambulance-operations/ambulance-rates,https://www.cchealth.org/about-contra-costa-health/divisions/ems/ambulance-operations/ambulance-rates,https://www.cchealth.org/about-contra-costa-health/divisions/ems/,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:07.489012
2026-01-11,Contra Costa County EMS,1316143946,Contra Costa,"Concord, Richmond, Antioch, Walnut Creek, Pittsburg, San Ramon, Brentwood, Martinez, Pleasant Hill, Danville","945xx, 946xx, 948xx",County-wide,San Ramon Valley Fire Protection District,Emergency (911),1316143946,Contra Costa County EMS,,,,3202.3,,,,77.4,"June 1, 2023",,https://www.cchealth.org/about-contra-costa-health/divisions/ems/ambulance-operations/ambulance-rates,https://www.cchealth.org/about-contra-costa-health/divisions/ems/ambulance-operations/ambulance-rates,https://www.cchealth.org/about-contra-costa-health/divisions/ems/,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:07.489243
2026-01-11,Contra Costa County EMS,1316143946,Contra Costa,"Concord, Richmond, Antioch, Walnut Creek, Pittsburg, San Ramon, Brentwood, Martinez, Pleasant Hill, Danville","945xx, 946xx, 948xx",County-wide,Moraga-Orinda Fire District,Emergency (911),1316143946,Contra Costa County EMS,,,,3202.3,,,,50.0,"May 15, 2024",,https://www.cchealth.org/about-contra-costa-health/divisions/ems/ambulance-operations/ambulance-rates,https://www.cchealth.org/about-contra-costa-health/divisions/ems/ambulance-operations/ambulance-rates,https://www.cchealth.org/about-contra-costa-health/divisions/ems/,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:07.489518
2026-01-11,Central California EMS Agency,1124333693,Fresno,"Fresno, Clovis, Madera, Sanger, Selma, Reedley, Kerman, Coalinga","936xx, 937xx",County-wide,,Emergency (911),1124333693,Central California EMS Agency,2700.0,2700.0,3200.0,3200.0,,,,45.0,,"Fallback from notes: ALS $3,200, BLS $2,700, Mileage $45/mi (2025 CCEMSA rates)",https://www.fresnocountyca.gov/Departments/Public-Health/Emergency-Services/Emergency-Medical-Services-EMS,https://www.fresnocountyca.gov/Departments/Public-Health/Emergency-Services/Emergency-Medical-Services-EMS,https://www.fresnocountyca.gov/Departments/Public-Health/Emergency-Services/Emergency-Medical-Services-EMS,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:16.386358
2026-01-11,Kern County EMS Agency,1376656965,Kern,"Bakersfield, Delano, Ridgecrest, Tehachapi, Wasco, Shafter, Arvin, California City","932xx, 933xx, 935xx",County-wide,,Emergency (911),1376656965,Kern County EMS Agency,2912.12,2912.12,3285.0,3285.0,,,,,,"Fallback from notes: Hall Ambulance - BLS $2,912.12, ALS $3,285 (2023 rates)",https://www.kernpublichealth.com/emergency-medical-services/ambulance,https://www.kernpublichealth.com/emergency-medical-services/ambulance,https://www.kernpublichealth.com/emergency-medical-services/ambulance,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:23.887818
2026-01-11,San Francisco Fire Department EMS,1629172082,San Francisco,San Francisco,941xx,City-wide,,Emergency (911),1629172082,San Francisco Fire Department EMS,,,,2555.0,,,,49.0,"September 1, 2025",,https://sf-fire.org/services/ambulance-billing,https://sf-fire.org/services/ambulance-billing,https://sf-fire.org/services/ambulance-billing,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:25.276669
2026-01-11,Ventura County EMS Agency,,Ventura,"Ventura, Oxnard, Thousand Oaks, Simi Valley, Camarillo, Moorpark, Santa Paula, Fillmore, Ojai","930xx, 931xx, 932xx, 933xx",County-wide,,Emergency (911),,,2663.0,2663.0,3065.0,3065.0,,438.5,,81.5,"July 1, 2025",,https://www.amr.net/locations/california/ventura-county/ventura-county-rate-sheet,https://www.amr.net/locations/california/ventura-county/ventura-county-rate-sheet,https://www.amr.net/locations/california/ventura-county,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:29.255838
2026-01-11,San Mateo County EMS Agency,1376656940,San Mateo,"San Mateo, Daly City, Redwood City, South San Francisco, San Bruno, Burlingame, Foster City, Pacifica, Half Moon Bay","940xx, 944xx",County-wide,,Emergency (911),1376656940,San Mateo County EMS Agency,,,,4123.15,,,,102.89,"July 1, 2025",,https://www.smchealth.org/pod/9-1-1-ambulance-transport-service-charges,https://www.smchealth.org/pod/9-1-1-ambulance-transport-service-charges,https://www.smchealth.org/pod/9-1-1-ambulance-transport-service-charges,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:30.627297
2026-01-11,American Medical Response,1346242733,San Joaquin,"Stockton, Lodi, Tracy, Manteca, Lathrop","952xx, 953xx, 954xx",Zone X,Zone X service area,Emergency (911),1346242733,American Medical Response,,3371.63,,3953.56,,10436.31,,83.89,"May 9, 2025",,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:31.956725
2026-01-11,Escalon Community Ambulance,1831297491,San Joaquin,Escalon,953xx,Zone F,Zone F service area,Emergency (911),1831297491,Escalon Community Ambulance,,3058.44,,3586.32,,,,76.1,"May 9, 2025",,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:31.956786
2026-01-11,Manteca District Ambulance,1831297491,San Joaquin,Escalon,953xx,Zone D,Zone D service area,Emergency (911),1831297491,Manteca District Ambulance,,3371.63,,3953.56,,,,83.89,"May 9, 2025",,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:31.956805
2026-01-11,Ripon Consolidated Fire District,1134283179,San Joaquin,Manteca,953xx,Zone E,Zone E service area,Emergency (911),1134283179,Ripon Consolidated Fire District,,3180.78,,3729.77,,,,79.14,"May 9, 2025",,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://www.sjgov.org/department/ems/Menu/contracts-agreements/AllowableCharges,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:31.956818
2026-01-11,American Medical Response,1346242733,Stanislaus,"Modesto, Turlock, Ceres, Riverbank, Hughson","953xx, 954xx, 955xx",Zone 5,,Emergency (911),1346242733,American Medical Response,,2622.96,,3680.31,,,346.58,80.57,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.418933
2026-01-11,Del Puerto Healthcare District,1477654691,Stanislaus,"Patterson, Westley",953xx,Zone 4 & D,,Emergency (911),1477654691,Del Puerto Healthcare District,,1870.0,,2865.0,3000.0,,300.0,80.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.418968
2026-01-11,Oak Valley Hospital District,1346381415,Stanislaus,"Patterson, Westley",953xx,Zone A,,Emergency (911),1346381415,Oak Valley Hospital District,,2334.0,,3624.0,4434.0,,264.0,12.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.418984
2026-01-11,Westside Healthcare District,1629283170,Stanislaus,"Patterson, Westley",953xx,Zone W,,Emergency (911),1629283170,Westside Healthcare District,,2000.0,,3000.0,,,,80.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.418999
2026-01-11,Allstar Ambulance,1639283087,Stanislaus,Stanislaus County-wide,"953xx, 954xx, 955xx",County-wide IFT,,Non-Emergency (IFT),1639283087,Allstar Ambulance,2350.0,,,,,,,70.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.419196
2026-01-11,America West,1487864117,Stanislaus,"Modesto, Turlock, Ceres, Riverbank, Hughson","953xx, 954xx, 955xx",Zone 5,,Non-Emergency (IFT),1487864117,America West,3900.0,,,,,,,80.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.419458
2026-01-11,AmWest Ambulance,1487864117,Stanislaus,Stanislaus County-wide,"953xx, 954xx, 955xx",County-wide IFT,,Non-Emergency (IFT),1487864117,AmWest Ambulance,2860.0,,3722.16,,,9100.0,,65.52,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.419629
2026-01-11,Bay Medic,1700856952,Stanislaus,"Modesto, Turlock, Ceres, Riverbank, Hughson","953xx, 954xx, 955xx",Zone 5,,Non-Emergency (IFT),1700856952,Bay Medic,2485.0,,3250.0,,,9975.0,,72.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.419764
2026-01-11,Citizen Medical Response,1700856952,Stanislaus,"Modesto, Turlock, Ceres, Riverbank, Hughson","953xx, 954xx, 955xx",Zone 5,,Non-Emergency (IFT),1700856952,Citizen Medical Response,675.0,,,,,,,13.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.419900
2026-01-11,Norcal Ambulance,1245346123,Stanislaus,Stanislaus County-wide,"953xx, 954xx, 955xx",County-wide IFT,,Non-Emergency (IFT),1245346123,Norcal Ambulance,3050.0,,3425.0,,,14500.0,,75.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.420030
2026-01-11,Pro Transport-1,1497854116,Stanislaus,Stanislaus County-wide,"953xx, 954xx, 955xx",County-wide IFT,,Non-Emergency (IFT),1497854116,Pro Transport-1,3050.0,,5050.0,,,14500.0,,78.0,,,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://oes.stancounty.gov/divisions/emergency-medical-services-agency/ambulance-rates,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:39.420153
2026-01-11,Central California EMS Agency,1124333693,Tulare,"Visalia, Tulare, Porterville, Hanford, Dinuba, Lindsay, Exeter","932xx, 936xx, 937xx",County-wide,,Emergency (911),1124333693,Central California EMS Agency,2700.0,2700.0,3200.0,3200.0,,,,45.0,,"Fallback from notes: ALS $3,200, BLS $2,700, Mileage $45/mi (2025 CCEMSA rates)",https://www.fresnocountyca.gov/Departments/Public-Health/Emergency-Services/Emergency-Medical-Services-EMS/County-Operations/Tulare-County-Operations,https://www.fresnocountyca.gov/Departments/Public-Health/Emergency-Services/Emergency-Medical-Services-EMS/County-Operations/Tulare-County-Operations,https://www.fresnocountyca.gov/Departments/Public-Health/Emergency-Services/Emergency-Medical-Services-EMS/County-Operations/Tulare-County-Operations,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:47.329220
2026-01-11,Monterey County EMS Agency,1508984765,Monterey,"Salinas, Monterey, Seaside, Marina, Pacific Grove, Carmel, Gonzales, Soledad, King City","939xx, 940xx",County-wide,,Emergency (911),1508984765,Monterey County EMS Agency,2600.0,2600.0,3100.0,3100.0,,,,55.0,,"Fallback from notes: ALS $3,100, BLS $2,600, Mileage $55/mi (2025 AMR rates)",https://www.countyofmonterey.gov/government/departments-a-h/health/emergency-medical-services/ems-agency/ambulance-billing-and-service-concerns,https://www.countyofmonterey.gov/government/departments-a-h/health/emergency-medical-services/ems-agency/ambulance-billing-and-service-concerns,https://www.countyofmonterey.gov/government/departments-a-h/health/emergency-medical-services/,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:55.256671
2026-01-11,Santa Barbara County EMS Agency,1316143953,Santa Barbara,"Santa Barbara, Santa Maria, Lompoc, Goleta, Carpinteria, Solvang","931xx, 934xx, 935xx",County-wide,,Emergency (911),1316143953,Santa Barbara County EMS Agency,6213.0,6213.0,6213.0,6213.0,,,,,,"Fallback from notes: AMR is provider - CCT Base $6,213 (2025)",https://www.countyofsb.org/2024/EMS-Agency,https://www.countyofsb.org/2024/EMS-Agency,https://www.countyofsb.org/2024/EMS-Agency,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:57.109331
2026-01-11,Coastal Valleys EMS Agency,1447454533,Sonoma,"Santa Rosa, Petaluma, Rohnert Park, Windsor, Healdsburg, Sebastopol, Sonoma, Cloverdale","954xx, 955xx",County-wide,,Emergency (911),1447454533,Coastal Valleys EMS Agency,2400.0,2400.0,2900.0,2900.0,,,,42.0,,"Fallback from notes: ALS $2,900, BLS $2,400, Mileage $42/mi (2025 AMR rates)",https://www.coastalvalleysems.org/resources/pdf/ambulancerates.pdf,https://www.coastalvalleysems.org/resources/pdf/ambulancerates.pdf,https://www.coastalvalleysems.org/,https://npiregistry.cms.hhs.gov/,2026-01-11T22:30:59.145168
