county,eoa_name,service_zip_codes,HCPCS_Code,rate,rate_type_service,rate_type_provider,source_url,other_research_comments,other_source_urls,effective_date,NPI,gaso_npi,provider_name,data_quality_flag,research_notes
Amador,County-wide,"95601, 95629, 95640, 95642, 95644, 95646, 95654, 95665, 95666, 95669, 95675, 95685, 95689",A0425,92.0,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1770-ala-rate-increase-2025-1/file,Verified from OCR of MVEMSA 2025 American Legion Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1609876929,1316143938,American Legion Ambulance Post 108,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Amador,County-wide,"95601, 95629, 95640, 95642, 95644, 95646, 95654, 95665, 95666, 95669, 95675, 95685, 95689",A0426,2207.11,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1770-ala-rate-increase-2025-1/file,Verified from OCR of MVEMSA 2025 American Legion Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1609876929,1316143938,American Legion Ambulance Post 108,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Amador,County-wide,"95601, 95629, 95640, 95642, 95644, 95646, 95654, 95665, 95666, 95669, 95675, 95685, 95689",A0427,3456.1,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1770-ala-rate-increase-2025-1/file,Verified from OCR of MVEMSA 2025 American Legion Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1609876929,1316143938,American Legion Ambulance Post 108,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Amador,County-wide,"95601, 95629, 95640, 95642, 95644, 95646, 95654, 95665, 95666, 95669, 95675, 95685, 95689",A0428,1500.69,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1770-ala-rate-increase-2025-1/file,Verified from OCR of MVEMSA 2025 American Legion Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1609876929,1316143938,American Legion Ambulance Post 108,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Amador,County-wide,"95601, 95629, 95640, 95642, 95644, 95646, 95654, 95665, 95666, 95669, 95675, 95685, 95689",A0429,2474.11,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1770-ala-rate-increase-2025-1/file,Verified from OCR of MVEMSA 2025 American Legion Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1609876929,1316143938,American Legion Ambulance Post 108,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Amador,County-wide,"95601, 95629, 95640, 95642, 95644, 95646, 95654, 95665, 95666, 95669, 95675, 95685, 95689",A0433,4150.08,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1770-ala-rate-increase-2025-1/file,Verified from OCR of MVEMSA 2025 American Legion Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1609876929,1316143938,American Legion Ambulance Post 108,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Amador,County-wide,"95601, 95629, 95640, 95642, 95644, 95646, 95654, 95665, 95666, 95669, 95675, 95685, 95689",A0434,4689.18,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1770-ala-rate-increase-2025-1/file,Verified from OCR of MVEMSA 2025 American Legion Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1609876929,1316143938,American Legion Ambulance Post 108,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Amador,County-wide,"95601, 95629, 95640, 95642, 95644, 95646, 95654, 95665, 95666, 95669, 95675, 95685, 95689",A0998,1116.31,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1770-ala-rate-increase-2025-1/file,Verified from OCR of MVEMSA 2025 American Legion Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1609876929,1316143938,American Legion Ambulance Post 108,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,70.64,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1255646980,,Alpha One Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0426,4752.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1255646980,,Alpha One Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0428,3326.4,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1255646980,,Alpha One Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,65.52,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1467744367,,AmWest Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0426,3722.16,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1467744367,,AmWest Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0428,2860.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1467744367,,AmWest Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,50.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,,,America West,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0428,2900.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,,,America West,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,72.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1548531627,,Bay Medic,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0426,3250.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1548531627,,Bay Medic,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0428,2485.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1548531627,,Bay Medic,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,County-wide,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,71.81,911,county,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Contracted 911 provider,,2025-12-01,1770825994,,Butte County EMS,Verified,"SSVEMS rate PDF lists contracted 911 providers by county with exclusive operating area contracts. ALS mapped to A0427 (911), BLS to A0429 (911), CCT to A0434, Mileage to A0425."
Butte,County-wide,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0427,3152.1,911,county,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Contracted 911 provider,,2025-12-01,1770825994,,Butte County EMS,Verified,"SSVEMS rate PDF lists contracted 911 providers by county with exclusive operating area contracts. ALS mapped to A0427 (911), BLS to A0429 (911), CCT to A0434, Mileage to A0425."
Butte,County-wide,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0429,3152.1,911,county,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Contracted 911 provider,,2025-12-01,1770825994,,Butte County EMS,Verified,"SSVEMS rate PDF lists contracted 911 providers by county with exclusive operating area contracts. ALS mapped to A0427 (911), BLS to A0429 (911), CCT to A0434, Mileage to A0425."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,25.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1679665053,,Butte Valley Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0426,1500.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1679665053,,Butte Valley Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0428,1250.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1679665053,,Butte Valley Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,50.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1063241867,,County Medical Response,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0428,2500.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1063241867,,County Medical Response,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,25.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1386114643,,Eagle Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0428,2800.0,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1386114643,,Eagle Ambulance,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
Butte,Region-wide IFT,"95916, 95917, 95926, 95927, 95928, 95929, 95930, 95938, 95940, 95941, 95942, 95948, 95954, 95958, 95965, 95966, 95967, 95968, 95969, 95973, 95974, 95976, 95978",A0425,73.78,IFT,contracted,https://www.ssvems.com/wp-content/uploads/2026/01/S-SV-EMS-Region-Ground-Ambulance-Rates-12-1-2025.pdf,Verified from SSVEMS Ground Ambulance Provider Rates PDF (Dec 2025) - Permitted IFT provider,,2025-12-01,1598773624,,Falcon CCT,Verified,"Official SSVEMS rate PDF is the authoritative source for all 11-county SSVEMS region. Permitted IFT providers serve the entire region. ALS mapped to A0426 (IFT), BLS to A0428 (IFT), Mileage to A0425 (IFT)."
